site_no,drain_area_va,dec_lat_va,dec_long_va
01011000,1478,47.0697222,-69.0794444
01013500,873,47.2375,-68.58277778
01017000,1654,46.7772222,-68.1572222
01019000,228.3,45.1725,-67.76888889
01022500,227,44.60805556,-67.93527778
01030500,1418,45.5011111,-68.3058333
01031500,298,45.175,-69.3147222
01034500,6422,45.2361111,-68.65138889
01038000,145,44.22277778,-69.59388889
01042500,1590,45.3397222,-69.9619444
01046500,2715,45.051944399999996,-69.8855556
01047000,353,44.86916667,-69.955
01052500,152,44.8775,-71.0575
01053500,1046,44.7825,-71.1286111
01054000,1361,44.4358333,-71.19027778
01054200,69.6,44.39055556,-70.9797222
01054500,2068,44.551944399999996,-70.5441667
01055000,96.9,44.64277778,-70.58888889
01057000,73.5,44.30388889,-70.5397222
01059000,3263,44.0722222,-70.2080556
01064500,385,43.9908333,-71.0905556
01066000,1293,43.80805556,-70.7816667
01073000,12.1,43.1486955,-70.9650603
01073500,185,43.10258558,-70.952559
01076500,622,43.7592388,-71.6856337
01078000,85.8,43.56646307,-71.747857
01081000,471,43.44174376,-71.5875752
01092000,3092,42.9481405,-71.4634002
01094500,110,42.49506389,-71.7219333
01096000,65.9,42.63425619,-71.6578479
01096500,435,42.66758945,-71.57506809
01097000,116,42.432038,-71.4497848
01097300,12.8,42.51259289,-71.40422829
01099500,400,42.6367581,-71.3020047
01100000,4635,42.64592464,-71.2983937
01100600,36.5,42.5681488,-71.2147792
01101000,21.3,42.75286948,-70.9456096
01102000,125,42.6598157,-70.8936622
01102500,24.5,42.4474568,-71.1380816
01103500,183,42.256209,-71.2600558
01104200,211,42.3164861,-71.227833
01104500,251,42.37231857,-71.2336668
01105000,34.7,42.1775987,-71.2008863
01105500,27.2,42.15454356,-71.1458842
01105600,4.5,42.1903779,-70.9447679
01105730,30.3,42.1006571,-70.8225415
01109000,43.3,41.94760015,-71.1767155
01109060,84.3,41.8662122,-71.12282369
01110000,25.6,42.230372,-71.7109023
01111500,91.2,41.99648716,-71.56200758
01112500,416,42.0064871,-71.5025613
01114500,38.3,41.8589884,-71.4872823
01116000,62.8,41.69010026,-71.5658958
01117000,22.9,41.6412122,-71.4445016
01117500,100,41.44510024,-71.68089828
01118000,72.4,41.49815516,-71.7164561
01118300,4.02,41.4748222,-71.8342361
01118500,295,41.38371065,-71.8331247
01119500,121,41.7506544,-72.26563469
01121000,28.6,41.8437089,-72.1689662
01122500,404,41.70037644,-72.1820223
01123000,30,41.6717651,-72.05229807
01129200,254,45.04032368,-71.4439704
01134500,75.2,44.5117231,-71.8373143
01135500,436,44.3656147,-72.0392613
01137500,87.6,44.2686741,-71.6303617
01139000,98.4,44.1503413,-72.0650915
01139800,8.95,44.0928419,-72.33565327
01144000,690,43.71423614,-72.418149
01151500,221,43.60257077,-72.35425819
01152500,269,43.38757327,-72.36203409
01154500,5493,43.12618905,-72.4367549
01161000,420,42.78591586,-72.4861996
01162000,81.8,42.6842527,-72.08341388
01162500,19.4,42.6825859,-72.1150812
01163200,34.1,42.58842124,-72.04091198
01166500,372,42.5975862,-72.43786449
01169000,89,42.63841775,-72.7250922
01169900,24.1,42.5420303,-72.69370179
01170100,41.4,42.70341695,-72.67064738
01170500,7860,42.5802222,-72.5745
01171500,52.6,42.31897839,-72.6650907
01173500,197,42.2362038,-72.27258047
01174500,43.7,42.3934237,-72.2384148
01177000,689,42.16064906,-72.5139756
01181000,94,42.23731169,-72.895654
01183500,497,42.1067602,-72.698981
01184000,9660,41.9873186,-72.6053669
01185500,91.7,42.0788611,-73.0728833
01187300,19.9,42.0375,-72.93932778
01196500,115,41.45026389,-72.841275
01197000,57.6,42.4695833,-73.1973333
01197500,282,42.23191667,-73.3546667
01200500,996,41.6531496,-73.4898462
01205500,1544,41.38380278,-73.16663889
01208500,260,41.4423,-73.0622833
01208990,21,41.29454,-73.39512029
01209700,30,41.16376667,-73.4195444
01305000,73.1,40.83027778,-72.9061111
01305500,8.07,40.76694444,-72.9936111
01311500,3.77,40.6636111,-73.7044444
01315000,132,43.75638889,-74.2672222
01315500,792,43.7008333,-73.9833333
01318500,1664,43.31888889,-73.8441667
01321000,491,43.35277778,-74.27027778
01325000,1055,43.31138889,-73.8672222
01331500,46.7,42.61119407,-73.1239918
01332500,126,42.70035897,-73.158994
01333000,42.6,42.7089695,-73.1967729
01334000,111,42.91285604,-73.2564981
01334500,510,42.9386111,-73.3769444
01336000,152,43.26444444,-75.43638889
01346000,560,43.06888889,-74.9883333
01347000,1342,43.0147222,-74.7794444
01350000,237,42.31944444,-74.4366667
01351500,886,42.8,-74.26277778
01357500,3450,42.78538889,-73.70777778
01362200,63.7,42.11694444,-74.38027778
01362500,192,42.01416667,-74.2705556
01365000,38.3,41.86638889,-74.4872222
01371500,695,41.6861111,-74.16527778
01372500,181,41.65305556,-73.8725
01375000,378,41.22502778,-73.85888889
01376800,30.7,41.09555556,-73.96388889
01377000,58,40.99916667,-73.9891667
01377500,29.6,40.99277778,-74.0211111
01378500,113,40.9483333,-74.0266667
01379000,55.4,40.68,-74.52888889
01379500,100,40.7261111,-74.3897222
01381000,119,40.89694444,-74.3947222
01381500,29.4,40.8072222,-74.4569444
01383500,27.1,41.16027778,-74.3336111
01387500,120,41.09805556,-74.16277778
01388000,160,40.99194444,-74.28
01388500,355,40.9697222,-74.2819444
01389500,762,40.8847222,-74.2261111
01391500,54.6,40.89027778,-74.0805556
01393450,16.9,40.675,-74.2219444
01394500,25.5,40.6875,-74.3116667
01395000,40.9,40.61888889,-74.2833333
01396500,65.3,40.67777778,-74.8791667
01397000,147,40.5722222,-74.8680556
01398000,25.7,40.4733333,-74.82777778
01399500,32.8,40.7275,-74.73027778
01400000,190,40.57055556,-74.6791667
01400500,490,40.55555556,-74.58277778
01401000,44.5,40.33305556,-74.6819444
01402000,258,40.475,-74.5758333
01403060,785,40.5511111,-74.5483333
01405400,40.7,40.38944444,-74.3905556
01407500,49.2,40.3197222,-74.1155556
01407705,9.96,40.1986111,-74.07
01407760,6.46,40.2033333,-74.0658333
01408000,44,40.16138889,-74.1547222
01408500,123,39.98638889,-74.2233333
01409400,46.7,39.67444444,-74.665
01410000,72.5,39.66394444,-74.5234444
01411000,57.1,39.5947222,-74.8516667
01411500,112,39.49555556,-75.0769444
01413500,163,42.1447222,-74.6536111
01414500,25.2,42.1061111,-74.7305556
01415000,33.2,42.12,-74.8186111
01417000,372,42.075,-74.97638889
01420500,241,41.94641667,-74.9796667
01421000,784,41.97355556,-75.1751944
01423000,332,42.1661111,-75.14002778
01425000,456,42.07491667,-75.3958056
01426500,595,42.00302778,-75.38352778
01428500,2020,41.50875,-74.9860556
01429000,59.7,41.58730898,-75.3268449
01429500,64.6,41.6073104,-75.26712048
01431500,290,41.4762002,-75.1721186
01434000,3076,41.3706493,-74.6973853
01435000,66.6,41.88994444,-74.5898056
01436000,92.6,41.82,-74.6355556
01437500,307,41.4413611,-74.60188889
01438500,3480,41.30916667,-74.79527778
01439500,117,41.08815078,-75.03767469
01440000,64,41.1061111,-74.9525
01440400,65.9,41.0848148,-75.2146251
01442500,259,40.998706,-75.1426788
01443900,5.34,40.98055556,-75.0391667
01445500,106,40.83055556,-74.97777778
01446500,4535,40.82638889,-75.0825
01447500,91.7,41.1303626,-75.625467
01447680,20,41.06527778,-75.52138889
01447720,118,41.0848082,-75.6054666
01447800,290,41.1048062,-75.7321362
01449360,49.9,40.8975919,-75.5024077
01449800,96.4,40.84564756,-75.6457437
01450500,76.7,40.8062047,-75.5979643
01451000,889,40.7570395,-75.60296388
01451500,80.8,40.5823197,-75.48296088
01451800,53,40.66176219,-75.626854
01452000,75.8,40.62315267,-75.4824053
01452500,44.5,40.6412091,-75.37934709
01453000,1279,40.6153761,-75.3787914
01457000,141,40.6722222,-75.0608333
01459500,97.4,40.4337151,-75.1165609
01463500,6780,40.22166667,-74.7780556
01464000,90.6,40.22416667,-74.7491667
01464500,81.5,40.1372222,-74.6
01465798,21.4,40.05705567,-74.9851694
01466500,2.35,39.885,-74.50527778
01467000,118,39.97,-74.6844444
01467048,49.8,40.05011137,-75.0326713
01467150,17,39.90305556,-75.02138889
01469500,42.9,40.80703327,-75.97187089
01470500,355,40.5225932,-75.99826819
01470960,175,40.3706482,-76.0252159
01471000,211,40.36898166,-75.9791015
01472000,1147,40.2417631,-75.6515752
01472157,59.1,40.15149064,-75.601305
01473000,279,40.22954725,-75.451567
01474000,64,40.01539,-75.2068459
01474500,1893,39.9678905,-75.1885123
01477120,26.9,39.74055556,-75.2591667
01477800,7.46,39.7609722,-75.5186944
01478000,20.5,39.63738889,-75.72788889
01479000,89.1,39.6992222,-75.67502778
01480000,47,39.76280556,-75.6365
01480300,18.7,40.07287916,-75.8607744
01480675,8.57,40.09787927,-75.74159878
01480700,60.6,40.03482757,-75.7085488
01481000,287,39.8698328,-75.5932623
01481500,314,39.7695,-75.5766944
01483200,4.06,39.36627778,-75.66938889
01483700,31.9,39.1637222,-75.5190833
01484100,3.02,38.90577778,-75.51275
01485500,44.9,38.22891667,-75.4714444
01487000,75.4,38.7283333,-75.5618611
01491000,113,38.99719444,-75.7858056
01495000,51.6,39.6675833,-75.8255833
01500000,103,42.33313889,-75.2343056
01503000,2232,42.03527778,-75.8030556
01510000,147,42.5411111,-75.8997222
01512500,1483,42.21805556,-75.8483333
01516500,12.2,41.79090746,-77.0146877
01518000,282,41.90840709,-77.1294154
01520000,298,41.99674048,-77.1399724
01521500,30.6,42.3958333,-77.71138889
01523500,57.9,42.3347222,-77.6830556
01524500,158,42.3134722,-77.6510833
01526500,1377,42.1211111,-77.1291667
01529500,470,42.2525,-77.2166667
01531000,2506,42.0022222,-76.6347222
01531500,7797,41.76535278,-76.4407743
01532000,215,41.70757505,-76.4849432
01534000,383,41.55841008,-75.89464168
01534300,38.8,41.67980547,-75.47184988
01534500,108,41.5045259,-75.54213
01536000,332,41.35924619,-75.744359
01536500,9960,41.2509149,-75.8807518
01538000,43.8,41.0595282,-76.09381749
01539000,274,41.07814118,-76.4313333
01540500,11220,40.95814218,-76.6191222
01541000,315,40.89700655,-78.6769726
01541200,367,40.9614471,-78.5191906
01541500,371,40.97172406,-78.4058533
01542810,5.24,41.57895225,-78.2925121
01543000,272,41.4133959,-78.1969524
01543500,685,41.31728467,-78.1030596
01544000,245,41.4017305,-78.0241674
01544500,136,41.4758994,-77.8258251
01545000,233,41.31950954,-77.873882
01545500,2975,41.32367797,-77.7499869
01545600,46.2,41.38951168,-77.6908191
01546500,87.2,40.88978334,-77.794168
01547100,142,40.9317273,-77.7855575
01547200,265,40.943116,-77.78639109
01547500,339,41.05173127,-77.6044379
01547700,44.1,41.05950916,-77.6058264
01547950,152,41.1117307,-77.7022159
01548500,604,41.52173586,-77.4474798
01549500,37.7,41.47368336,-77.230809
01549700,944,41.273683,-77.32414028
01550000,173,41.41813179,-77.0330238
01551500,5682,41.23618985,-76.996634
01552500,23.8,41.35702418,-76.5346708
01553500,6847,40.96758498,-76.8763543
01554000,18300,40.8345293,-76.8266349
01555000,301,40.86674917,-77.0483088
01555500,162,40.61119589,-76.9119198
01556000,291,40.4631283,-78.199732
01557500,44.1,40.6836733,-78.23362439
01558000,220,40.61256655,-78.1405645
01559000,816,40.4847958,-78.01889269
01560000,172,40.07174679,-78.4925172
01562000,756,40.21591249,-78.2652901
01563200,960,40.42896398,-77.9911135
01563500,2030,40.39229876,-77.93499988
01564500,205,40.21258144,-77.9252764
01567000,3354,40.47841677,-77.1291484
01567500,15,40.37091615,-77.402209
01568000,207,40.32341928,-77.1688703
01570000,470,40.2522222,-77.0211111
01571500,213,40.22481237,-76.8980293
01573000,337,40.4025897,-76.57718829
01574000,510,40.0809008,-76.7180813
01574500,75.5,39.8787104,-76.8533073
01576500,324,40.05009748,-76.2771798
